,stars
76513,4
60406,5
27322,4
53699,1
65412,5
14297,4
15664,4
49235,5
99277,4
13809,5
86464,5
81834,5
11253,5
46788,3
69796,5
35485,4
20638,5
18827,5
57341,5
64381,1
2933,4
64969,4
44203,5
8671,5
64049,1
3524,5
65674,5
79278,5
79981,5
53403,2
45296,5
452,5
90364,5
81839,4
45484,3
41805,5
84368,4
38352,5
51713,4
8746,5
82552,5
48165,5
95383,5
38213,1
19619,4
85428,2
87952,3
64020,5
81312,4
23614,5
61194,3
76645,5
20961,5
11035,3
29953,4
67209,5
56274,4
12345,4
84753,4
87771,5
39997,5
94332,5
16954,3
22646,3
67007,4
9289,1
37885,5
68821,5
98198,4
15608,3
15799,5
87879,1
79694,4
24202,5
9053,4
56662,2
62897,3
33296,1
72898,3
50722,5
22904,5
79707,2
32698,2
40940,5
36608,5
41270,5
19368,4
76829,2
99273,4
34102,5
42258,5
53759,3
62717,3
29705,5
36049,3
76416,5
99078,1
99316,4
47262,4
5011,5
49360,4
39942,3
40153,4
5924,5
91212,5
28904,1
70470,4
70877,1
96162,5
12692,4
63244,5
74969,2
24341,1
40146,5
70707,5
77557,5
99263,5
45994,4
23050,5
84980,4
52090,4
97587,4
7877,1
14081,5
49424,5
34952,5
83371,3
56335,5
31208,5
25578,5
53315,1
30631,3
64567,3
64770,2
43363,4
36670,5
34479,5
31931,5
39000,4
38356,5
94387,5
84449,5
7742,5
212,5
40859,5
31209,5
67404,5
35904,5
40257,5
6617,5
12495,5
18986,1
38466,5
99275,4
63241,5
85852,2
93182,1
34532,4
95076,4
39926,5
96872,5
30234,5
82725,5
35652,4
33245,5
88255,5
30892,5
1035,4
92098,5
89359,5
31841,5
25798,5
13017,4
9199,4
68234,5
7059,4
77167,5
89202,4
36493,4
61141,4
43068,3
51722,5
81883,4
76752,5
68735,1
27651,2
58040,5
82871,3
28319,4
80208,5
86004,3
85021,5
33229,4
23981,5
19574,5
10317,5
76594,5
12858,2
80927,5
7156,5
78870,5
60612,5
70250,4
53037,4
3847,5
24692,5
76615,4
971,1
45574,5
50082,3
6367,5
68982,4
33936,5
63694,5
12555,4
18278,4
88015,2
60003,5
85646,4
3414,4
88124,3
6637,2
75639,5
23858,3
66360,3
70582,4
71228,1
87381,3
14381,4
20624,5
42883,4
94717,1
94398,1
98629,2
95041,5
10629,1
6159,5
40586,1
71461,5
52372,3
95375,5
48441,5
25027,5
61875,5
93120,5
45522,4
54537,2
77528,4
61871,5
17838,5
73815,1
80870,3
34430,5
87307,4
22834,5
49071,5
89574,5
73110,4
70732,5
60757,3
46036,4
10791,1
73468,4
1410,5
80411,5
61817,5
23617,1
96108,5
8370,5
7554,5
44849,2
63921,5
55545,2
17930,5
69408,1
20975,5
78927,5
82739,3
78778,5
89324,4
41038,5
40867,5
15854,4
5892,5
83705,5
21408,5
96289,5
82514,4
17179,5
64392,4
71171,5
85005,1
9455,5
93597,5
53543,4
36001,5
75331,1
61206,5
4070,4
34316,3
97718,4
41213,5
8403,5
87009,3
87865,3
74514,3
78166,2
20267,5
27755,5
12797,4
83258,4
4394,1
2448,3
3418,3
4211,3
98963,4
26130,4
1228,5
54247,5
77607,3
50527,4
65127,4
70760,5
33680,4
63488,5
44633,4
6225,5
90667,4
59824,3
55886,5
14998,5
33254,1
26024,4
53970,5
65754,5
84212,4
91935,5
92905,5
30878,3
98557,3
44868,5
94852,3
57845,3
74746,5
43785,5
78450,5
1266,4
40993,5
64508,5
11978,4
59755,4
81330,4
64440,5
76136,1
7182,3
36520,4
72697,4
69200,4
42741,3
64119,4
92225,5
75245,5
38161,4
16299,4
96778,5
60433,3
87940,1
86675,5
31580,4
54674,2
23379,5
23278,4
9841,5
54398,5
60730,5
52171,5
70866,4
25984,5
28372,5
58546,5
9174,3
73499,1
341,1
41902,5
84093,3
14386,3
65292,4
42196,1
51014,1
91520,5
4384,4
84804,3
93103,3
92299,1
71903,5
36216,5
60768,2
46967,2
95646,4
48264,1
64180,1
35811,3
77453,2
24543,2
44932,4
21154,5
15118,1
38592,4
80419,2
248,4
32396,4
77679,1
62926,1
81756,2
48946,4
90308,5
79533,4
90837,5
62275,5
76758,3
79728,5
19230,5
41338,5
54088,1
34668,5
9082,5
72896,5
10801,4
91073,4
86100,5
35412,1
31671,2
11464,3
7401,5
92214,5
13291,1
5090,1
69710,5
41251,5
44662,3
74923,5
60778,3
50935,5
28623,5
82171,5
25582,1
14773,5
98802,4
65721,3
94981,5
16745,4
97080,2
36515,4
88415,5
18334,3
80621,5
7518,4
57780,5
92950,2
1499,5
45521,5
510,2
6750,4
76488,5
14841,5
61151,5
91312,5
3265,5
65765,5
85173,5
96181,5
40616,5
6233,4
83558,5
12807,5
90504,5
66361,5
99664,1
16170,1
17679,4
29959,5
32075,4
19746,4
25891,5
1485,4
26396,5
54700,4
58748,2
31959,5
76664,5
91812,5
66318,4
9988,4
77773,1
92540,5
80116,5
94966,5
39154,1
15551,5
38511,3
72256,1
5319,4
15276,2
67179,1
81270,5
9341,4
84172,1
10005,2
68061,4
50894,4
67395,1
75866,5
75313,5
84660,5
14488,4
66790,1
12840,4
91669,5
19407,5
62627,1
22460,3
53979,1
44152,5
11496,2
10432,5
32370,1
18285,5
75594,5
1002,5
2508,5
11208,3
44039,4
69733,2
5406,4
86802,5
45405,5
34145,4
73099,4
42835,4
45751,5
53191,4
70861,5
83748,5
60081,2
84086,4
94596,3
58700,4
42672,1
55495,4
37724,4
8218,5
93713,5
85696,4
48769,3
54060,3
91343,4
65825,4
67978,5
64389,4
81021,4
61371,4
76720,4
77956,1
29997,2
65334,1
18566,5
26689,5
44466,5
86193,5
38730,4
58041,5
59986,5
59493,1
2025,4
89542,2
95246,5
15883,4
66687,2
46364,5
90429,4
55422,3
30081,1
42509,5
18896,4
800,5
79870,4
11798,5
77057,3
77043,5
90565,3
5401,4
56909,5
89527,2
68915,3
48705,3
79764,1
15012,4
60627,2
90095,3
94440,4
39297,1
14108,5
25478,3
76114,5
79389,2
78304,5
5532,3
91826,5
27247,4
81895,1
51804,5
84462,3
47332,5
20833,5
4525,4
51456,5
47380,4
94249,3
37398,4
65007,5
88740,3
23172,4
43339,4
55884,4
59456,4
44960,1
42841,3
41653,2
45626,4
85939,1
9656,4
14330,1
16355,3
88193,5
34468,3
61538,5
46291,4
17406,5
44888,5
4160,5
14993,5
25689,5
80413,5
52029,2
33968,5
22304,4
70444,4
12498,4
40842,5
94414,1
29970,5
54996,5
66208,4
93712,3
84835,4
53356,4
22603,5
45455,5
17518,2
61375,5
10982,5
56667,4
48044,1
82654,5
47180,1
89117,5
96727,4
41943,1
26282,4
48243,5
66581,5
29862,5
80418,3
15682,5
29820,4
12662,3
28813,4
26629,3
16107,5
92964,4
27461,1
39547,5
17250,5
1277,5
19652,5
99744,5
84081,5
38140,4
14619,3
45790,5
34167,5
68397,1
15961,5
4427,4
28065,4
31329,3
19915,1
39940,5
45879,5
85338,1
55523,5
52264,4
63274,4
9619,5
78374,5
5935,5
78805,5
13781,5
3788,5
9037,4
99012,2
20368,5
10137,3
35288,5
88785,5
53743,2
69233,4
92164,5
45363,5
15851,5
73323,4
67176,4
77880,5
19791,4
15377,5
51426,5
34344,4
80461,4
66407,4
97140,1
4404,3
51353,4
72072,5
99114,5
10869,5
16658,5
48103,4
24023,5
97753,3
9563,4
30055,1
61235,5
28252,5
80481,2
55475,1
25509,5
83435,3
83244,4
97683,5
77797,3
10056,2
68267,4
20035,5
71203,4
97993,5
67796,1
87652,4
68815,5
59006,5
83540,5
51380,2
55843,5
16503,5
24371,5
46943,4
57453,1
89338,3
63082,4
59740,4
92630,5
8829,4
60959,4
79661,3
46139,5
34003,1
92637,5
69774,3
99176,5
78190,4
47729,3
28851,5
16828,1
99666,5
38969,3
28705,4
74082,5
40362,5
20892,5
78880,4
97570,5
82905,4
85159,3
76200,5
60807,5
58007,4
66837,4
73448,5
64153,1
6701,1
96675,1
36728,1
68750,4
95664,5
611,4
45767,3
77093,5
90986,5
66142,5
20252,1
1039,1
40086,2
23262,5
86392,5
61763,4
14435,4
11493,4
3330,4
81228,4
91306,2
21239,1
31071,4
49676,4
17764,5
470,3
23405,1
95678,5
38242,3
32845,4
83353,5
35570,4
50266,5
89145,5
64359,4
96418,4
99181,4
53196,5
14459,1
30566,5
85068,5
64227,3
80063,5
63977,3
73073,5
29686,1
85942,1
93553,4
675,1
98463,5
28997,5
65505,3
22215,5
48422,5
17350,5
71985,1
43875,2
31612,3
84512,1
51004,2
2241,3
34158,2
6963,5
80349,5
30197,4
84440,4
47956,5
52976,5
61062,5
35698,4
84536,5
25843,5
78851,3
31729,2
27896,5
68195,5
38774,4
63524,1
67793,3
55772,3
56065,5
66648,5
34896,5
58843,5
64058,4
35881,4
38668,1
38081,5
26978,5
63629,3
27860,4
77772,4
75150,5
11836,5
79704,4
73828,3
73383,4
92478,5
97960,4
65788,1
61425,5
65056,4
82607,1
83238,5
38470,3
56346,5
90290,5
46038,4
69077,5
766,3
94222,3
80024,4
44805,5
7640,4
91666,3
11083,5
19717,3
80287,5
98893,4
83204,2
94709,4
84035,4
19828,4
5006,5
2285,5
79021,4
70849,4
45576,4
57243,4
36262,5
78496,5
90380,5
99430,4
19281,4
8356,4
44975,5
32051,5
85358,3
53011,4
4475,5
14575,5
30652,5
62082,3
13526,5
69026,5
24149,5
36771,4
56766,5
72895,4
71547,3
96420,5
41172,4
15242,5
3702,4
91699,5
61673,3
19955,5
5048,5
66515,1
83327,4
94698,4
94655,4
27373,4
11566,5
82921,5
61749,4
68784,1
77018,5
83853,5
39485,4
31228,4
33614,5
3976,5
44578,5
1189,5
23222,1
4393,5
46657,5
27018,4
27852,5
97637,2
27650,5
69665,2
25764,4
8372,4
38582,5
62578,2
87564,5
62201,5
37521,4
19808,2
33214,4
61910,5
40321,5
63995,5
88434,5
68721,5
64061,5
92353,1
90234,3
73061,5
61125,3
53793,2
89764,2
93284,3
23085,3
83640,1
96213,5
28417,4
72295,3
65506,4
68834,2
71252,4
44848,1
59384,5
42009,3
64159,5
95064,4
33985,5
37737,5
54650,4
82119,5
15821,4
44163,4
402,3
78293,1
64336,5
40243,3
78447,3
33153,4
33248,5
75522,2
25779,4
77980,3
60821,5
69598,3
54563,5
94052,4
17075,4
96155,3
19254,1
47648,4
81066,2
66805,5
93752,5
73901,2
97471,4
94008,5
83271,4
77537,3
19287,4
1786,5
15683,5
8534,4
65151,1
81723,1
88836,5
50977,1
86409,4
851,5
6527,1
16229,4
7514,4
70206,4
19132,5
89854,3
3437,2
32756,1
65619,4
98946,1
95881,5
60017,2
68744,5
41727,5
97913,1
45137,3
67489,5
80483,5
49784,5
25737,5
96724,3
31801,5
99536,4
33898,3
62172,4
94024,5
10493,2
73995,4
42420,3
55232,5
79347,5
24521,5
8105,3
41438,5
86877,2
95606,5
72406,5
96762,4
52537,5
58437,5
75101,5
85004,5
1187,4
53761,4
70395,4
38647,3
30003,5
62207,5
36803,5
85724,5
79826,5
20911,4
